"Industry","Percentage point increase in remote workers","Excess TFP Growth","2019 output"
"Crop & animal production (Farms)","0.7","0.228275374","300.6"
"Warehousing and storage","3.1","-1.161736369","127.6"
"Food services and drinking places","3.4","0.986687899","708.9"
"Truck transportation","3.5","1.344578981","397.6"
"Other services, except government","3.7","0.153013557","660.7"
"Construction","3.7","0.992916465","1728.0"
"Mining, except oil and gas","4.1","5.689322472","80.1"
"Wood products","4.2","-1.777638435","93.8"
"Transit and ground passenger transportation","4.3","6.478903294","103.4"
"Accommodation","4.8","6.664476395","259.2"
"Primary metal products","5.2","-6.672194004","195.3"
"Forestry, fishing, and related activities","5.2","2.700798988","45.1"
"Fabricated metal products","5.4","0.429528832","348.1"
"Furniture and related products","5.5","-0.612343729","72.0"
"Hospitals and nursing and residential care facilities","5.7","-0.366976351","730.9"
"Social assistance","6.0","-0.75644666","174.9"
"Plastics and rubber products","6.1","-1.318714023","228.5"
"Nonmetallic mineral products","6.1","0.860161781","122.8"
"Waste management and remediation services","6.1","-0.141651839","115.1"
"Rail transportation","6.5","1.738207459","86.1"
"Other transportation and support activities","6.6","0.974966526","236.2"
"Food and beverage and tobacco products","6.7","2.267106056","798.9"
"Retail trade","6.8","-1.964097977","1748.3"
"Amusements, gambling, and recreation industries","7.0","0.632346392","139.1"
"Printing and related support activities","7.4","-0.62030381","79.6"
"Support activities for mining","7.8","-0.603305578","111.0"
"Textile mills and textile product mills","7.8","1.579517365","41.5"
"Paper products","7.9","0.510248244","148.4"
"Petroleum and coal products","8.3","2.025711775","538.9"
"Ambulatory health care services","8.8","-0.70561564","1064.4"
"Rental and leasing services and lessors of nonfinancial and intangible assets","9.1","3.431159496","378.5"
"Real estate","9.4","0.463076115","1815.5"
"Air transportation","9.5","-14.08092213","149.7"
"Electrical equipment, appliances, and components","10.2","-0.556103289","124.8"
"Machinery","10.8","1.341320634","359.5"
"Administrative and support services","11.0","0.76445961","984.2"
"Apparel and leather and applied products","11.0","4.221432686","14.3"
"Motor vehicles, bodies and trailers, and parts","11.0","-1.601602316","544.6"
"Pipeline transportation","11.1","1.302081943","61.5"
"Wholesale trade","11.4","-0.141880468","1920.9"
"Oil and gas extraction","12.2","-5.486511707","310.2"
"Performing arts, spectator sports, museums, and related activities","14.0","-5.637634754","159.0"
"Miscellaneous manufacturing","14.2","3.423905373","142.8"
"Educational services","14.3","-2.595665455","209.8"
"Water transportation","15.6","0.63416779","60.8"
"Other transportation equipment","17.7","-0.303211719","268.8"
"Chemical products","18.8","4.414978027","681.2"
"Utilities","21.2","0.719652236","540.7"
"Legal services","22.2","1.066458106","346.2"
"Computer and electronic products","24.3","1.811143637","329.0"
"Miscellaneous professional, scientific, and technical services","25.2","2.278724194","1398.4"
"Motion picture and sound recording industries","27.0","1.997630835","132.4"
"Broadcasting and telecommunications","28.2","-1.358584642","753.9"
"Management of companies and enterprises","30.9","2.883696079","625.8"
"Federal reserve banks, credit intermediation, and related activities","32.8","1.470290184","1021.1"
"Insurance carriers and related activities","34.4","-1.819955587","778.6"
"Securities, commodity contracts, and other financial investments and related activities","37.3","0.471060842","562.7"
"Funds, trusts, and other financial vehicles","37.3","10.22735786","136.1"
"Publishing industries, except internet (includes software)","38.6","3.507027626","390.2"
"Computer systems design and related services","42.6","1.276628971","515.8"
"Data processing, internet publishing, and other information services","44.2","4.998471737","461.7"
""
