"Industry","Output","Labor input"
"Computer systems design and related services","9.3","2.8"
"Publishing industries, except internet (includes software)","8.9","6.0"
"Data processing, internet publishing, and other information services","14.8","6.9"
"Insurance carriers and related activities","-0.7","1.1"
"Funds, trusts, and other financial vehicles","-9.9","18.8"
"Securities, commodity contracts, & other financial investments & related act.","3.2","2.1"
"Management of companies and enterprises","6.1","0.9"
"Federal reserve banks, credit intermediation, and related activities","-0.1","0.9"
"Broadcasting and telecommunications","2.0","-2.1"
"Miscellaneous professional, scientific, and technical services","6.5","2.7"
"Notes: The top 10 industries with the largest remote work in 2021 are shown in the chart, the data behind the chart has all 61 industries data pointsTotal factor productivity (TFP) growth is measured as the average annual percent change.Source: U.S. Bureau of Labor Statistics, Productivity program and U.S. Census Bureau, American Community Survey"
